지점,지점명,일시,기온(°C),기온 QC플래그,강수량(mm),강수량 QC플래그,풍속(m/s),풍속 QC플래그,풍향(16방위),풍향 QC플래그,습도(%),습도 QC플래그,증기압(hPa),이슬점온도(°C),현지기압(hPa),현지기압 QC플래그,해면기압(hPa),해면기압 QC플래그,일조(hr),일조 QC플래그,일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),운형(운형약어),최저운고(100m ),시정(10m),지면상태(지면상태코드),현상번호(국내식),지면온도(°C),지면온도 QC플래그,5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C)
108,서울,2010-01-01 18:00,-5.3,0,,,2.6,0,70,0,46,0,1.9,-15.1,1009.5,0,1020.5,0,0,0,0.01,1.9,,3,3,Sc,10,1600,,,-3,0,-1.8,-0.7,-0.4,0.4
108,서울,2010-01-01 19:00,-5.2,0,,,2.7,0,70,0,49,0,2,-14.2,1009.5,0,1020.5,0,,9,,,,,,,,,,,-3.1,0,-2.1,-0.9,-0.5,0.4
108,서울,2010-01-01 20:00,-4.9,0,,,2.5,0,70,0,51,0,2.2,-13.5,1009.1,0,1020.1,0,,9,,,,,,,,,,,-3,0,-2.2,-1,-0.4,0.4
108,서울,2010-01-01 21:00,-5,0,,,2.8,0,70,0,53,0,2.2,-13.1,1008.8,0,1019.8,0,,9,,1.9,,10,4,ScAs,10,1500,16,,-2.9,0,-2.1,-1,-0.4,0.4
108,서울,2010-01-01 22:00,-4.8,0,,,2.9,0,70,0,54,0,2.3,-12.7,1008.9,0,1019.9,0,,9,,,,,,,,,,,-2.9,0,-2.1,-1.1,-0.5,0.4
108,서울,2010-01-01 23:00,-4.6,0,,,3,0,70,0,55,0,2.4,-12.2,1008.6,0,1019.6,0,,9,,,,,,,,,,,-2.8,0,-2.1,-1.1,-0.5,0.4
108,서울,2010-01-02 0:00,-4.5,0,,,3,0,90,0,58,0,2.5,-11.5,1008.4,0,1019.4,0,,9,,1.9,,10,6,ScAs,10,1500,,,-2.7,0,-2,-1,-0.4,0.4
108,서울,2010-01-02 1:00,-4.7,0,,,3.5,0,70,0,67,0,2.9,-9.9,1008.1,0,1019.1,0,,9,,,,,,,,,,,-2.7,0,-2,-1.1,-0.5,0.4
108,서울,2010-01-02 2:00,-4.7,0,,9,2.8,0,70,0,72,0,3.1,-8.9,1007.7,0,1018.7,0,,9,,1.9,,10,7,StNs,7,1200,,5,-2.6,0,-2,-1.1,-0.5,0.4
108,서울,2010-01-02 3:00,-4.8,0,0.1,0,3.2,0,70,0,84,0,3.6,-7,1007.3,0,1018.3,0,,9,,2.1,0.2,10,7,StNs,7,400,17,5,-2.5,0,-1.9,-1,-0.4,0.4
108,서울,2010-01-02 4:00,-4.5,0,,9,2.9,0,70,0,83,0,3.6,-6.9,1006.3,0,1017.3,0,,9,,2.1,,10,7,ScAs,8,1000,,5,-2.5,0,-1.9,-1,-0.4,0.4
108,서울,2010-01-02 5:00,-4.2,0,,9,3.1,0,70,0,83,0,3.7,-6.6,1005.3,0,1016.2,0,,9,,2.1,,10,7,ScAs,8,1000,,,-2.4,0,-1.9,-1,-0.5,0.4
108,서울,2010-01-02 6:00,-3.9,0,0.1,0,2.9,0,70,0,84,0,3.8,-6.2,1004.6,0,1015.5,0,,9,,2.3,0.2,10,7,StNs,7,400,,5,-2.2,0,-1.8,-1,-0.5,0.4
108,서울,2010-01-02 7:00,-3.6,0,,9,2.3,0,90,0,83,0,3.9,-6,1004.3,0,1015.2,0,,9,,2.3,,10,7,ScAs,8,1100,,5,-2,0,-1.6,-0.9,-0.4,0.4
108,서울,2010-01-02 8:00,-3.2,0,,9,1.8,0,70,0,86,0,4.2,-5.2,1004,0,1014.9,0,0,0,0,2.4,,10,7,StNs,7,200,,1905,-2,0,-1.6,-1,-0.5,0.3
108,서울,2010-01-02 9:00,-3.4,0,0.9,0,2.4,0,70,0,90,0,4.3,-4.8,1004.2,0,1015.1,0,0,0,0,3,0.7,10,7,ScNs,8,700,19,191605,-1.8,0,-1.5,-0.8,-0.4,0.4
108,서울,2010-01-02 10:00,-2.9,0,,9,1.9,0,90,0,87,0,4.3,-4.7,1004.6,0,1015.5,0,0,0,0.06,3.2,,10,7,StNs,7,400,,191105,-1.6,0,-1.3,-0.8,-0.4,0.4
108,서울,2010-01-02 11:00,-2.8,0,,9,1.2,0,70,0,89,0,4.4,-4.3,1004.9,0,1015.8,0,0,0,0.1,3.5,,10,7,StNs,7,300,,1911,-1.6,0,-1.3,-0.8,-0.4,0.4
108,서울,2010-01-02 12:00,-2.1,0,0.3,0,0.8,0,70,0,84,0,4.4,-4.4,1004.2,0,1015,0,0,0,0.22,3.5,0.5,10,7,StNs,7,700,,1911,-1.3,0,-1.1,-0.7,-0.3,0.4
108,서울,2010-01-02 13:00,-0.9,0,,9,0.7,0,230,0,79,0,4.5,-4,1003.6,0,1014.4,0,0,0,0.66,3.4,,9,9,Sc,10,700,,19,-1,0,-1,-0.6,-0.4,0.4
108,서울,2010-01-02 14:00,-0.1,0,,9,2.2,0,290,0,77,0,4.7,-3.6,1003.4,0,1014.2,0,0,0,0.9,3.4,,9,3,ScAc,10,400,,19,-0.7,0,-0.8,-0.6,-0.3,0.4
108,서울,2010-01-02 15:00,0,0,,9,3.5,0,320,0,73,0,4.5,-4.2,1004,0,1014.8,0,0,0,0.72,3.3,,8,2,ScAc,10,700,19,19,-0.5,0,-0.6,-0.5,-0.3,0.4
108,서울,2010-01-02 16:00,-0.4,0,,9,4.4,0,270,0,77,0,4.6,-3.9,1004.5,0,1015.3,0,0.8,0,0.65,3.3,,2,2,Sc,10,700,,19,-0.5,0,-0.5,-0.5,-0.3,0.4
108,서울,2010-01-02 17:00,-1.6,0,,9,4.4,0,290,0,72,0,3.9,-5.9,1005.7,0,1016.5,0,0,0,0.24,3.2,,2,2,Sc,10,700,,19,-0.7,0,-0.4,-0.4,-0.2,0.4
108,서울,2010-01-02 18:00,-2.5,0,,9,3.6,0,290,0,63,0,3.2,-8.5,1006.6,0,1017.5,0,0,0,0.01,3.2,,0,0,,,900,,4019,-1.1,0,-0.5,-0.4,-0.2,0.4
108,서울,2010-01-02 19:00,-3.1,0,,9,3.1,0,290,0,60,0,2.9,-9.7,1007.3,0,1018.2,0,,9,,3.2,,,,,,,,40,-1.5,0,-0.7,-0.4,-0.2,0.4
108,서울,2010-01-02 20:00,-3.9,0,,9,2.8,0,320,0,63,0,2.9,-9.9,1007.8,0,1018.8,0,,9,,3.2,,,,,,,,40,-1.7,0,-1,-0.4,-0.2,0.5
108,서울,2010-01-02 21:00,-4.7,0,,9,2.8,0,320,0,68,0,2.9,-9.7,1008.7,0,1019.7,0,,9,,3.2,,0,0,,,1000,17,40,-2.1,0,-1.3,-0.5,-0.2,0.4
108,서울,2010-01-02 22:00,-5.5,0,,9,3.8,0,290,0,73,0,3,-9.5,1009.3,0,1020.3,0,,9,,3.2,,,,,,,,,-2.3,0,-1.5,-0.6,-0.2,0.5
108,서울,2010-01-02 23:00,-6.5,0,,9,4.7,0,290,0,74,0,2.8,-10.3,1009.9,0,1021,0,,9,,3.2,,,,,,,,,-2.5,0,-1.8,-0.7,-0.2,0.5
108,서울,2010-01-03 0:00,-7.4,0,,9,3.6,0,290,0,65,0,2.3,-12.8,1010.3,0,1021.4,0,,9,,3.2,,0,0,,,1100,,,-2.9,0,-2.1,-0.8,-0.2,0.5
108,서울,2010-01-03 1:00,-8,0,,,3.4,0,290,0,66,0,2.2,-13.2,1010.3,0,1021.5,0,,9,,3.2,,,,,,,,,-3.2,0,-2.4,-1,-0.3,0.5
108,서울,2010-01-03 2:00,-8.4,0,,,3.3,0,320,0,65,0,2.1,-13.8,1010.7,0,1021.9,0,,9,,3.2,,,,,,,,,-3.5,0,-2.7,-1.1,-0.3,0.5
108,서울,2010-01-03 3:00,-8.9,0,,,2.4,0,290,0,65,0,2,-14.2,1011.1,0,1022.3,0,,9,,3.2,,0,0,,,1100,17,,-3.8,0,-3,-1.3,-0.4,0.5
108,서울,2010-01-03 4:00,-9.2,0,,,2.6,0,290,0,63,0,1.9,-14.9,1010.9,0,1022.1,0,,9,,3.2,,0,0,,,1100,,,-4.1,0,-3.2,-1.4,-0.4,0.5
108,서울,2010-01-03 5:00,-9.7,0,,,2.9,0,290,0,66,0,1.9,-14.8,1010.6,0,1021.8,0,,9,,3.2,,0,0,,,1300,,,-4.5,0,-3.4,-1.6,-0.5,0.5
108,서울,2010-01-03 6:00,-10,0,,,1.2,0,320,0,62,0,1.8,-15.9,1010.9,0,1022.2,0,,9,,3.2,,0,0,,,1400,,,-4.7,0,-3.7,-1.7,-0.5,0.4
108,서울,2010-01-03 7:00,-10.1,0,,,3.9,0,290,0,54,0,1.5,-17.6,1011.6,0,1022.9,0,,9,,3.2,,0,0,,,1500,,,-5,0,-3.9,-1.8,-0.6,0.4
108,서울,2010-01-03 8:00,-10.5,0,,,4.1,0,290,0,56,0,1.5,-17.6,1012.1,0,1023.4,0,0,0,0,3.2,,0,0,,,1500,,,-5.1,0,-4,-2,-0.6,0.4
108,서울,2010-01-03 9:00,-10.1,0,,,1.7,0,320,0,54,0,1.5,-17.6,1012,0,1023.3,0,0.9,0,0.28,3.2,,0,0,,,1500,17,,-5.2,0,-4.1,-2,-0.6,0.4
108,서울,2010-01-03 10:00,-9.1,0,,,2.3,0,320,0,46,0,1.4,-18.6,1012.7,0,1023.9,0,1,0,0.83,3.2,,0,0,,,1500,,,-4.8,0,-4,-2,-0.7,0.4
108,서울,2010-01-03 11:00,-7.6,0,,,1.5,0,320,0,44,0,1.5,-17.7,1012.8,0,1024,0,1,0,1.35,3.2,,0,0,,,1500,,,-3.8,0,-3.4,-2,-0.7,0.4
108,서울,2010-01-03 12:00,-6.3,0,,,2.2,0,290,0,40,0,1.5,-17.7,1011.7,0,1022.8,0,1,0,1.7,3.1,,0,0,,,1400,,,-2.7,0,-2.7,-1.6,-0.7,0.3
108,서울,2010-01-03 13:00,-4.8,0,,,1.5,0,230,0,38,0,1.6,-16.9,1010.8,0,1021.8,0,1,0,1.79,3,,0,0,,,1400,,,-1.9,0,-2.1,-1.3,-0.7,0.3
108,서울,2010-01-03 14:00,-3.7,0,,,1.5,0,290,0,35,0,1.6,-16.9,1010.5,0,1021.5,0,1,0,1.67,2.9,,0,0,,,1400,,,-1.4,0,-1.6,-1,-0.6,0.4
108,서울,2010-01-03 15:00,-3.6,0,,,2.9,0,270,0,36,0,1.7,-16.5,1010,0,1021,0,1,0,1.3,2.8,,0,0,,,1400,17,,-1.5,0,-1.3,-0.8,-0.5,0.3
108,서울,2010-01-03 16:00,-4,0,,,2.4,0,270,0,32,0,1.5,-18.3,1009.9,0,1020.9,0,1,0,0.76,2.7,,0,0,,,1600,,,-1.7,0,-1.1,-0.7,-0.5,0.3
108,서울,2010-01-03 17:00,-5,0,,,2.7,0,290,0,37,0,1.6,-17.4,1010.1,0,1021.1,0,0.3,0,0.27,2.7,,3,0,Ci,,1600,,,-2.1,0,-1.3,-0.6,-0.4,0.3
108,서울,2010-01-03 18:00,-5.2,0,,,2,0,340,0,37,0,1.5,-17.6,1010.1,0,1021.1,0,0,0,0,2.7,,3,0,Ci,,1600,,,-2.3,0,-1.5,-0.5,-0.3,0.4
108,서울,2010-01-03 19:00,-5.4,0,,,2,0,290,0,40,0,1.6,-16.9,1010.3,0,1021.3,0,,9,,2.7,,,,,,,,,-2.5,0,-1.8,-0.6,-0.3,0.4
108,서울,2010-01-03 20:00,-5.5,0,,,1.9,0,290,0,46,0,1.9,-15.3,1010.2,0,1021.2,0,,9,,2.7,,,,,,,,,-2.6,0,-2,-0.7,-0.4,0.3
108,서울,2010-01-03 21:00,-5.4,0,,,1.7,0,290,0,49,0,2,-14.4,1010.1,0,1021.1,0,,9,,2.7,,8,4,ScCi,12,1600,17,,-2.6,0,-2,-0.8,-0.4,0.4
108,서울,2010-01-03 22:00,-5.3,0,,,1.3,0,50,0,50,0,2.1,-14.1,1009.3,0,1020.3,0,,9,,2.7,,,,,,,,,-2.7,0,-2,-0.9,-0.4,0.4
108,서울,2010-01-03 23:00,-5.3,0,,,1.7,0,50,0,50,0,2.1,-14.1,1009.5,0,1020.5,0,,9,,2.7,,,,,,,,,-2.7,0,-2.1,-1,-0.4,0.3
108,서울,2010-01-04 0:00,-5.1,0,,,2.1,0,320,0,51,0,2.1,-13.6,1009.6,0,1020.6,0,,9,,2.7,,10,5,ScAs,10,1300,,,-2.7,0,-2.1,-1,-0.4,0.3
108,서울,2010-01-04 1:00,-6.9,0,,9,3,0,290,0,76,0,2.8,-10.4,1009.5,0,1020.6,0,,9,,2.8,,10,7,ScAs,8,600,,5,-2.7,0,-2.1,-1,-0.4,0.4
108,서울,2010-01-04 2:00,-6.9,0,,9,0.1,0,0,0,79,0,2.9,-9.9,1008.6,0,1019.7,0,,9,,2.8,,10,7,ScAs,8,800,,5,-2.8,0,-2.2,-1.1,-0.5,0.3
108,서울,2010-01-04 3:00,-6.3,0,0,0,2.8,0,90,0,76,0,2.9,-9.8,1007.2,0,1018.2,0,,9,,2.8,0.1,5,5,Sc,10,1000,17,5,-3,0,-2.2,-1.1,-0.4,0.4
108,서울,2010-01-04 4:00,-6.2,0,,9,3.9,0,70,0,68,0,2.6,-11.1,1005.7,0,1016.7,0,,9,,2.8,,10,5,ScAs,8,1000,,,-3.1,0,-2.4,-1.2,-0.5,0.3
108,서울,2010-01-04 5:00,-6.4,0,,9,3.8,0,70,0,79,0,3,-9.4,1004.6,0,1015.6,0,,9,,3,,10,7,StNs,6,100,,5,-2.9,0,-2.4,-1.2,-0.5,0.3
108,서울,2010-01-04 6:00,-6.9,0,0.8,0,3.8,0,70,0,90,0,3.3,-8.2,1002.9,0,1013.9,0,,9,,5.2,2.4,10,7,StNs,6,300,,5,-2.7,0,-2.3,-1.2,-0.5,0.4
108,서울,2010-01-04 7:00,-7,0,,9,3.5,0,70,0,93,0,3.4,-7.9,1002.5,0,1013.5,0,,9,,8.2,,10,8,StNs,6,60,,5,-2.5,0,-2.2,-1.2,-0.5,0.4
108,서울,2010-01-04 8:00,-6.4,0,,9,3.3,0,70,0,94,0,3.6,-7.2,1001.7,0,1012.7,0,0,0,0,14.2,,10,8,StNs,6,30,,5,-2.3,0,-2,-1.1,-0.5,0.4
108,서울,2010-01-04 9:00,-6.1,0,7.2,0,2.7,0,70,0,94,0,3.6,-6.9,1000.8,0,1011.8,0,0,0,0.01,20,14.8,10,8,StNs,6,110,19,5,-2.2,0,-1.9,-1.1,-0.5,0.3
108,서울,2010-01-04 10:00,-6.1,0,,9,3.9,0,70,0,94,0,3.6,-6.9,999.9,0,1010.9,0,0,0,0.08,22,,10,8,StNs,6,300,,5,-2,0,-1.7,-1,-0.5,0.4
108,서울,2010-01-04 11:00,-5.9,0,,9,3.7,0,70,0,94,0,3.7,-6.7,998.5,0,1009.4,0,0,0,0.11,24.2,,10,8,StNs,6,30,,5,-1.8,0,-1.5,-0.9,-0.4,0.4
108,서울,2010-01-04 12:00,-5.2,0,5.3,0,2.2,0,70,0,94,0,3.9,-6,997.7,0,1008.6,0,0,0,0.22,28.1,8.1,10,8,StNs,6,200,,5,-1.7,0,-1.4,-0.9,-0.4,0.3
108,서울,2010-01-04 13:00,-3.8,0,,9,1.2,0,70,0,93,0,4.3,-4.7,997.2,0,1008,0,0,0,0.59,28.2,,10,8,StNs,6,400,,5,-1.6,0,-1.3,-0.8,-0.4,0.3
108,서울,2010-01-04 14:00,-3.9,0,,9,2.1,0,320,0,92,0,4.2,-5,997.5,0,1008.3,0,0,0,0.48,28.5,,10,8,StNs,6,200,,5,-1.5,0,-1.2,-0.7,-0.4,0.4
108,서울,2010-01-04 15:00,-3.5,0,0.9,0,3,0,320,0,91,0,4.3,-4.7,997.9,0,1008.7,0,0,0,0.74,28.1,0.4,10,7,ScAs,8,500,19,5,-1.4,0,-1.1,-0.7,-0.4,0.3
108,서울,2010-01-04 16:00,-3.9,0,,9,3.6,0,320,0,87,0,4,-5.7,999,0,1009.9,0,0.1,0,0.48,27.8,,8,8,Sc,10,1100,,5,-1.2,0,-1,-0.6,-0.3,0.4
108,서울,2010-01-04 17:00,-4,0,,9,4,0,290,0,86,0,3.9,-6,1000.3,0,1011.2,0,0,0,0.16,27.5,,10,7,ScAs,8,1200,,,-1.2,0,-1,-0.6,-0.3,0.3
108,서울,2010-01-04 18:00,-4.6,0,0,0,2.4,0,290,0,86,0,3.8,-6.5,1001.9,0,1012.8,0,0,0,0,27,,8,8,Sc,8,1400,,,-1.1,0,-0.9,-0.6,-0.3,0.3
108,서울,2010-01-04 19:00,-5.3,0,,9,1.9,0,290,0,84,0,3.5,-7.5,1003,0,1013.9,0,,9,,26.6,,,,,,,,,-1,0,-0.8,-0.5,-0.2,0.4
108,서울,2010-01-04 20:00,-6,0,,9,4.6,0,290,0,81,0,3.2,-8.7,1003.8,0,1014.8,0,,9,,26.4,,,,,,,,,-1,0,-0.8,-0.5,-0.2,0.4
108,서울,2010-01-04 21:00,-6.5,0,,9,3.3,0,270,0,71,0,2.7,-10.8,1004.5,0,1015.5,0,,9,,26.2,,7,7,Sc,8,1400,19,,-0.9,0,-0.7,-0.4,-0.2,0.4
108,서울,2010-01-04 22:00,-7,0,,9,2.7,0,290,0,73,0,2.6,-11,1005.1,0,1016.1,0,,9,,26,,,,,,,,,-0.9,0,-0.7,-0.4,-0.2,0.4
108,서울,2010-01-04 23:00,-7.3,0,,9,4.1,0,290,0,71,0,2.5,-11.6,1005.8,0,1016.9,0,,9,,25.7,,,,,,,,,-0.9,0,-0.7,-0.4,-0.2,0.4
108,서울,2010-01-05 0:00,-8,0,,9,2.1,0,320,0,71,0,2.4,-12.3,1006.3,0,1017.4,0,,9,,25.6,,0,0,,,1200,,,-0.8,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 1:00,-8.4,0,,,3.9,0,290,0,74,0,2.4,-12.2,1006.7,0,1017.8,0,,9,,25.6,,,,,,,,,-0.8,0,-0.7,-0.4,-0.2,0.4
108,서울,2010-01-05 2:00,-8.8,0,,,4.1,0,290,0,76,0,2.4,-12.2,1007.2,0,1018.4,0,,9,,25.6,,,,,,,,,-0.8,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 3:00,-9.2,0,,,3.3,0,290,0,77,0,2.4,-12.4,1008.2,0,1019.4,0,,9,,25.5,,2,2,Sc,10,1100,19,,-0.8,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 4:00,-9.2,0,,,2.3,0,320,0,75,0,2.3,-12.8,1009,0,1020.2,0,,9,,25.3,,3,3,Sc,10,1100,,,-0.9,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 5:00,-9.6,0,,,3,0,290,0,74,0,2.2,-13.3,1009.4,0,1020.6,0,,9,,25,,7,7,Sc,10,1000,,,-0.8,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 6:00,-9.6,0,0,0,4.1,0,290,0,73,0,2.2,-13.5,1009.7,0,1020.9,0,,9,,24.9,,9,9,Sc,10,1000,,5,-0.8,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 7:00,-10.1,0,,9,2.7,0,290,0,75,0,2.1,-13.6,1010.2,0,1021.4,0,,9,,24.8,,8,8,Sc,10,1000,,5,-0.9,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 8:00,-10.5,0,,9,1.1,0,320,0,76,0,2.1,-13.9,1010.7,0,1022,0,0,0,0,24.7,,6,6,Sc,10,1000,,,-0.9,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 9:00,-10.4,0,0,0,1.8,0,340,0,73,0,2,-14.3,1011.3,0,1022.6,0,0.2,0,0.21,24.4,,4,4,Sc,10,1000,19,,-0.8,0,-0.6,-0.3,-0.1,0.4
108,서울,2010-01-05 10:00,-9.9,0,,9,2.8,0,320,0,70,0,2,-14.3,1012.2,0,1023.5,0,0.6,0,0.59,24,,3,3,Sc,10,1000,,,-0.8,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 11:00,-9,0,,9,3.6,0,290,0,65,0,2,-14.3,1012.5,0,1023.7,0,0.8,0,1.22,23.5,,4,4,Sc,10,1000,,,-0.8,0,-0.7,-0.4,-0.1,0.4
108,서울,2010-01-05 12:00,-8.8,0,,9,3.3,0,320,0,57,0,1.8,-15.7,1012.1,0,1023.3,0,0.9,0,1.72,23,,2,2,Sc,10,1100,,,-0.8,0,-0.6,-0.3,-0.1,0.4
108,서울,2010-01-05 13:00,-8.3,0,,9,3.9,0,290,0,55,0,1.8,-15.7,1011.7,0,1022.9,0,1,0,1.82,22.9,,2,2,Sc,10,1100,,,-0.8,0,-0.6,-0.3,-0.1,0.4
108,서울,2010-01-05 14:00,-7.5,0,,9,2.8,0,290,0,56,0,2,-14.7,1010.9,0,1022,0,1,0,1.72,22.5,,1,1,Sc,10,1000,,,-0.7,0,-0.6,-0.3,-0.1,0.4
108,서울,2010-01-05 15:00,-7.3,0,,9,2.9,0,290,0,55,0,1.9,-14.8,1010.9,0,1022,0,1,0,1.4,22.5,,0,0,,,1100,19,,-0.7,0,-0.6,-0.4,-0.1,0.4
108,서울,2010-01-05 16:00,-7.7,0,,9,3.9,0,290,0,50,0,1.7,-16.3,1011.3,0,1022.4,0,1,0,0.92,22.4,,0,0,,,1400,,,-0.6,0,-0.6,-0.3,-0.1,0.4
108,서울,2010-01-05 17:00,-9,0,,9,3.8,0,290,0,55,0,1.7,-16.4,1011.8,0,1023,0,1,0,0.37,22.4,,0,0,,,1400,,,-0.6,0,-0.5,-0.2,-0.1,0.5
108,서울,2010-01-05 18:00,-10,0,,9,2.3,0,340,0,57,0,1.6,-16.9,1012,0,1023.3,0,0,0,0.02,22,,0,0,,,1400,,,-0.6,0,-0.6,-0.3,-0.1,0.4
108,서울,2010-01-05 19:00,-10.6,0,,9,1.9,0,360,0,58,0,1.6,-17.2,1012.5,0,1023.8,0,,9,,21.8,,,,,,,,,-0.6,0,-0.6,-0.2,-0.1,0.4
108,서울,2010-01-05 20:00,-11,0,,9,1.5,0,320,0,64,0,1.7,-16.4,1012.7,0,1024,0,,9,,21.7,,,,,,,,,-0.6,0,-0.6,-0.2,-0.1,0.4
108,서울,2010-01-05 21:00,-11.3,0,,9,2.1,0,320,0,65,0,1.7,-16.5,1013,0,1024.3,0,,9,,21.5,,0,0,,,1400,19,,-0.7,0,-0.7,-0.3,-0.1,0.4
108,서울,2010-01-05 22:00,-11.7,0,,9,2.2,0,290,0,69,0,1.7,-16.2,1013.5,0,1024.8,0,,9,,21.5,,,,,,,,,-0.8,0,-0.7,-0.3,-0.1,0.4
108,서울,2010-01-05 23:00,-12.1,0,,9,2.7,0,290,0,72,0,1.7,-16.1,1013.8,0,1025.2,0,,9,,21.5,,,,,,,,,-0.8,0,-0.7,-0.3,-0.1,0.4
108,서울,2010-01-06 0:00,-12.3,0,,9,2.3,0,320,0,74,0,1.8,-15.9,1013.9,0,1025.3,0,,9,,21.5,,0,0,,,1500,,,-0.8,0,-0.8,-0.3,-0.1,0.4
108,서울,2010-01-06 1:00,-12.5,0,,,1.7,0,320,0,75,0,1.8,-16,1013.8,0,1025.2,0,,9,,21.5,,,,,,,,,-0.8,0,-0.7,-0.3,-0.1,0.4
